"NAME","TYPE","FlowCategoryTotalVolumetricFlow","FlowCategoryTotalThermalFlow","FlowCategoryMultiplier","FlowCategoryType","CategoryActive"
"Base Volumetric","Flow Categories",0.000000,0.000000,1.000000,"Volumetric",-1.000000
"Base Thermal","Flow Categories",,,1.000000,"Thermal",-1.000000
"D1","Flow Categories",-475.830001,0.000000,1.000000,"Volumetric",-1.000000
"C4","Flow Categories",-9.679999,0.000000,1.000000,"Volumetric",-1.000000
"C1","Flow Categories",-4.470000,0.000000,1.000000,"Volumetric",-1.000000
"C2","Flow Categories",-18.340000,0.000000,1.000000,"Volumetric",-1.000000
"DC","Flow Categories",-198.829997,0.000000,1.000000,"Volumetric",-1.000000
"DH","Flow Categories",,,1.000000,"Volumetric",-1.000000
"Base Diversified Volumetric","Flow Categories",,,1.000000,"Diversified Volumetric",-1.000000
"Base Diversified Thermal","Flow Categories",,,1.000000,"Diversified Thermal",-1.000000
"DM","Flow Categories",,,1.000000,"Volumetric",-1.000000
"DL","Flow Categories",,,1.000000,"Volumetric",-1.000000
