"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"82060300000170","Nodes","170",21.000000,60.541099,"DDS demands","Known Flow",479397.377604,96875.191571,,0.000000,,,,,-1.109999,,,,,,,-0.992581,-1.109999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000322","Nodes","P00048175, Elcombe Close, 60.19",22.999998,40.837881,"CSEP DDS Matched","Known Flow",481010.242043,96431.532450,,0.000000,,,,,,-35.029998,,,,,,-31.324452,-35.029998,,"",,,,,,"DC PROFILE",,,,,
"82060300000320","Nodes","320",21.000000,42.762236,"DDS demands","Known Flow",481042.793052,96404.462443,,0.000000,,,,,-18.669999,,,,,,,-16.695048,-18.669999,,"",,,,,"D1 PROFILE",,,,,,
"82060300031001","Nodes","31001",21.000000,43.869883,"Default Known Flow Node","Known Flow",481087.892064,96357.928430,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300000319","Nodes",,0.000000,61.911793,"DDS demands","Known Flow",480779.713505,96678.898932,,0.000000,,,,,-6.769999,,,,,,,-6.053854,-6.769999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000323","Nodes","323",21.000000,45.505753,"DDS demands","Known Flow",481065.654058,96306.554416,,0.000000,,,,,-5.749999,,,,,,,-5.141752,-5.749999,,"",,,,,"D1 PROFILE",,,,,,
"82060300001000","Nodes","1000",21.000000,46.034810,"Default Known Flow Node","Known Flow",481194.019093,96297.434413,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300000404","Nodes","404",21.000000,46.034810,"Default Known Flow Node","Known Flow",481131.503076,96329.320422,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300000402","Nodes","402",21.000000,46.034810,"Default Known Flow Node","Known Flow",481196.608094,96309.814417,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300000327","Nodes","327",21.000000,45.866912,"DDS demands","Known Flow",481064.286058,96271.161406,,0.000000,,,,,-24.020000,,,,,,,-21.479113,-24.020000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000309","Nodes","309",21.000000,46.686978,"DDS demands","Known Flow",481044.103452,96224.492145,,0.000000,,,,,-14.890000,,,,,,,-13.314905,-14.890000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000139","Nodes","139",21.000000,61.971776,"DDS demands","Known Flow",479430.099613,97640.280779,,0.000000,,,,,-17.249999,,,,,,,-15.425258,-17.249999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000332","Nodes","332",21.000000,60.037225,"DDS demands","Known Flow",479578.056537,97544.986841,,0.000000,,,,,-3.140000,,,,,,,-2.807844,-3.140000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000333","Nodes","333",21.000000,57.948659,"DDS demands","Known Flow",479608.241662,97589.141765,,0.000000,,,,,-7.600000,,,,,,,-6.796056,-7.600000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000331","Nodes","331",21.000000,60.282211,"DDS demands","Known Flow",479527.467640,97608.586770,,0.000000,,,,,-1.900000,,,,,,,-1.699014,-1.900000,,"",,,,,"D1 PROFILE",,,,,,
"82060300002004","Nodes","2004",21.000000,69.127014,"Default Known Flow Node","Known Flow",477986.951111,98048.391598,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300000403","Nodes","403",21.000000,46.034810,"Default Known Flow Node","Known Flow",481175.539088,96377.701435,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300000400","Nodes","400",21.000000,45.992867,"DDS demands","Known Flow",481214.774099,96243.654399,,0.000000,,,,,-12.899999,,,,,,,-11.535410,-12.899999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000365","Nodes","365",21.000000,46.086615,"DDS demands","Known Flow",481147.937081,96182.636382,,0.000000,,,,,-14.479999,,,,,,,-12.948275,-14.479999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000049","Nodes","49",21.000000,53.134440,"Default Known Flow Node","Known Flow",477748.414114,98408.509695,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300000254","Nodes","254",21.000000,60.886243,"DDS demands","Known Flow",480224.538089,96871.775079,,0.000000,,,,,-7.389999,,,,,,,-6.608270,-7.389999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000256","Nodes","256",21.000000,60.653665,"DDS demands","Known Flow",480208.552061,96883.942991,,0.000000,,,,-0.209999,-4.920000,,,,,,,-4.587337,-5.130000,,"",,,,"C4 PROFILE","D1 PROFILE",,,,,,
"82060300000052","Nodes","52",21.000000,68.659399,"DDS demands","Known Flow",477961.573214,98200.592931,,0.000000,,,,,-20.790002,,,,,,,-18.590791,-20.790002,,"",,,,,"D1 PROFILE",,,,,,
"82060300000051","Nodes","51",21.000000,69.902823,"DDS demands","Known Flow",478178.260273,98065.033894,,0.000000,,,,,-19.570000,,,,,,,-17.499843,-19.570000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000214","Nodes","214",21.000000,65.595416,"Default Known Flow Node","Known Flow",480675.646952,96808.177552,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300002002","Nodes","2002",21.000000,61.456203,"Default Known Flow Node","Known Flow",480716.134667,96877.361373,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300000249","Nodes","249",21.000000,62.091222,"DDS demands","Known Flow",480296.771849,96834.303560,,0.000000,,,,,-17.010000,,,,,,,-15.210646,-17.010000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000200","Nodes","200",21.000000,69.975070,"Default Known Flow Node","Known Flow",480081.235796,97826.580741,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300000346","Nodes","346",21.000000,69.816300,"Default Known Flow Node","Known Flow",480101.268796,97829.228830,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300000112","Nodes","112",21.000000,69.970525,"Default Known Flow Node","Known Flow",478178.665031,98053.263860,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300000001","Nodes","Cakeham Road DG, Constant",21.000000,69.999999,"Default Known Pressure Node","Known Pressure",478178.841273,98048.138890,,999998.967025,,,,,,,,,,,,521.212796,582.869986,,"",,,,,,,,,,,
"82060300000240","Nodes","240",21.000000,63.450195,"DDS demands","Known Flow",480397.228750,96574.372386,,0.000000,,,,,-1.049999,,,,,,,-0.938928,-1.049999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000241","Nodes","241",21.000000,62.883141,"DDS demands","Known Flow",480439.567531,96643.896142,,0.000000,,,,,-7.499999,,,,,,,-6.706634,-7.499999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000242","Nodes","242",21.000000,62.681454,"DDS demands","Known Flow",480506.638906,96688.282520,,0.000000,,,,,-5.050000,,,,,,,-4.515800,-5.050000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000287","Nodes","287",21.000000,58.105633,"DDS demands","Known Flow",480197.374822,96566.133487,,0.000000,,,,,-11.570000,,,,,,,-10.346101,-11.570000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000286","Nodes","286",21.000000,61.283181,"DDS demands","Known Flow",480347.759532,96475.298145,,0.000000,,,,,-14.869999,,,,,,,-13.297020,-14.869999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000213","Nodes","213",21.000000,69.583549,"DDS demands","Known Flow",480656.382947,96768.148542,,0.000000,-4.409999,,,,-4.169999,,,,,,,-7.672389,-8.579999,,"","C1 PROFILE",,,,"D1 PROFILE",,,,,,
"82060300000212","Nodes","212",21.000000,69.947100,"Default Known Flow Node","Known Flow",480642.864495,96774.830948,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300000005","Nodes","Lively Lady DG, Constant, Site ID 1552",21.000000,69.999999,"Default Known Pressure Node","Known Pressure",480640.896943,96775.803544,,999998.967025,,,,,,,,,,,,1161.036581,1298.382226,,"",,,,,,,,,,,
"82060300000006","Nodes","Nursing Home DG, Constant",21.000000,69.999999,"Default Known Pressure Node","Known Pressure",480125.810803,97850.145836,,999998.967025,,,,,,,,,,,,80.604798,90.139999,,"",,,,,,,,,,,
"82060300000338","Nodes","338",21.000000,69.876152,"DDS demands","Known Flow",480128.917803,97853.270837,,0.000000,,-64.999999,,,-1.150000,,,,,,,-59.152514,-66.149999,,"",,"C2 PROFILE",,,"D1 PROFILE",,,,,,
"82060300000339","Nodes","339",21.000000,69.754122,"Default Known Flow Node","Known Flow",480173.428524,97853.249392,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300000361","Nodes","361",21.000000,67.985611,"DDS demands","Known Flow",480278.731901,97901.305358,,0.000000,,,,,-13.800000,,,,,,,-12.340207,-13.800000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000340","Nodes","340",21.000000,67.929806,"DDS demands","Known Flow",480370.768869,97879.812844,,0.000000,,,,,-2.970000,,,,,,,-2.655827,-2.970000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000221","Nodes","221",21.000000,52.765748,"DDS demands","Known Flow",480840.521997,96988.678602,,0.000000,,,,,-4.600000,,,,,,,-4.113402,-4.600000,,"",,,,,"D1 PROFILE",,,,,,
"82060300008001","Nodes","Logger 1143, Barton Way",21.000000,52.704988,"Val Log Cath","Known Flow",480843.359864,96989.050112,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300000364","Nodes","364",21.000000,52.134465,"DDS demands","Known Flow",480869.824005,96988.570602,,0.000000,,,-43.029998,,-1.299999,,,,,,,-39.640679,-44.329998,,"",,,"C3  PROFILE",,"D1 PROFILE",,,,,,
"82060300000184","Nodes","184",21.000000,66.841421,"DDS demands","Known Flow",479751.890701,97314.041690,,0.000000,,,,,-8.819999,,,,,,,-7.887001,-8.819999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000079","Nodes","79",21.000000,59.551911,"DDS demands","Known Flow",478565.036378,99107.165178,,0.000000,,,,,-22.079998,,,,,,,-19.744330,-22.079998,,"",,,,,"D1 PROFILE",,,,,,
"82060300000077","Nodes","77",21.000000,61.569196,"DDS demands","Known Flow",478270.926298,98713.129071,,0.000000,-3.059999,,,,-13.340000,,,,,,,-14.665173,-16.400000,,"","C1 PROFILE",,,,"D1 PROFILE",,,,,,
"82060300000067","Nodes","67",21.000000,39.782496,"DDS demands","Known Flow",477556.309774,98691.220302,,0.000000,,,,,-16.290001,,,,,,,-14.566810,-16.290001,,"",,,,,"D1 PROFILE",,,,,,
"82060300000065","Nodes","65",21.000000,49.770917,"DDS demands","Known Flow",477736.275152,98678.071061,,0.000000,,,,,-3.339999,,,,,,,-2.986687,-3.339999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000341","Nodes","341",21.000000,69.731634,"Default Known Flow Node","Known Flow",480233.511832,97823.532829,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300000344","Nodes","344",21.000000,69.731527,"DDS demands","Known Flow",480247.047140,97812.832336,,0.000000,,,,,-0.880000,,,,,,,-0.786911,-0.880000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000342","Nodes","342",21.000000,69.680913,"DDS demands","Known Flow",480220.199828,97806.298824,,0.000000,,,,,-6.340000,,,,,,,-5.669341,-6.340000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000358","Nodes","358",21.000000,61.629213,"DDS demands","Known Flow",480680.273597,96371.442902,,0.000000,,,,,-1.320000,,,,,,,-1.180367,-1.320000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000191","Nodes","191",21.000000,63.535547,"DDS demands","Known Flow",479626.492478,97188.743123,,0.000000,,,,,-4.050000,,,,,,,-3.621582,-4.050000,,"",,,,,"D1 PROFILE",,,,,,
"82060300065552","Nodes","65552",21.000000,64.391317,"Default Known Flow Node","Known Flow",479686.943682,97188.538641,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300000190","Nodes","190",21.000000,65.016489,"DDS demands","Known Flow",479731.342695,97168.949651,,0.000000,,,-1.929999,,-10.220000,,,,,,,-10.864747,-12.150000,,"",,,"C3  PROFILE",,"D1 PROFILE",,,,,,
"82060300000260","Nodes","260",21.000000,54.382364,"DDS demands","Known Flow",480037.656779,96822.905556,,0.000000,,,,,-3.089999,,,,,,,-2.763133,-3.089999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000259","Nodes","259",21.000000,54.463944,"DDS demands","Known Flow",480051.793782,96878.853572,,0.000000,,,,,-14.519999,,,,,,,-12.984044,-14.519999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000261","Nodes","261",21.000000,53.878548,"DDS demands","Known Flow",479965.100309,96937.671265,,0.000000,,,,,-10.029999,,,,,,,-8.969005,-10.029999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000359","Nodes","359",21.000000,61.629213,"Default Known Flow Node","Known Flow",480663.390949,96342.177426,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300000171","Nodes","171",21.000000,57.622632,"DDS demands","Known Flow",479466.188623,96909.209580,,0.000000,,,,,-4.130000,,,,,,,-3.693120,-4.130000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000172","Nodes","172",21.000000,56.286447,"DDS demands","Known Flow",479516.651156,96957.673055,,0.000000,,,,,-13.650000,,,,,,,-12.206074,-13.650000,,"",,,,,"D1 PROFILE",,,,,,
"82060300043445","Nodes","43445",21.000000,56.405132,"Default Known Flow Node","Known Flow",479575.947779,96868.669590,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300000174","Nodes","174",21.000000,56.363424,"DDS demands","Known Flow",479600.754660,96927.959585,,0.000000,-1.779999,,,,-7.669999,,,,,,,-8.450358,-9.450000,,"","C1 PROFILE",,,,"D1 PROFILE",,,,,,
"82060300000176","Nodes","176",21.000000,56.327752,"DDS demands","Known Flow",479670.876679,96758.427539,,0.000000,,,,,-14.080000,,,,,,,-12.590588,-14.080000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000177","Nodes","177",21.000000,56.281881,"DDS demands","Known Flow",479741.822698,96726.333530,,0.000000,,,,,-2.949999,,,,,,,-2.637942,-2.949999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000282","Nodes","282",21.000000,56.559529,"DDS demands","Known Flow",479817.869719,96763.689540,,0.000000,,,,,-4.619999,,,,,,,-4.131286,-4.619999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000281","Nodes","281",21.000000,56.616176,"DDS demands","Known Flow",479853.122728,96742.807535,,0.000000,,,,,-8.930000,,,,,,,-7.985366,-8.930000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000279","Nodes","279",21.000000,56.804116,"DDS demands","Known Flow",479893.184739,96809.124553,,0.000000,,,,,-8.100000,,,,,,,-7.243165,-8.100000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000175","Nodes","175",21.000000,56.089449,"DDS demands","Known Flow",479554.505647,96817.421555,,0.000000,,,,,-15.930000,,,,,,,-14.244891,-15.930000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000178","Nodes","178",21.000000,56.875064,"DDS demands","Known Flow",479723.853775,96885.136655,,0.000000,,,,,-19.459999,,,,,,,-17.401479,-19.459999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000180","Nodes","180",21.000000,57.141826,"DDS demands","Known Flow",479816.001966,96855.362884,,0.000000,,,,,-3.469999,,,,,,,-3.102936,-3.469999,,"",,,,,"D1 PROFILE",,,,,,
"82060300043454","Nodes","43454",21.000000,57.183966,"Default Known Flow Node","Known Flow",479826.131721,96862.828567,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300000181","Nodes","181",21.000000,57.028874,"DDS demands","Known Flow",479790.247711,96788.538547,,0.000000,,,,,-3.839999,,,,,,,-3.433796,-3.839999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000275","Nodes","275",21.000000,57.234498,"Default Known Flow Node","Known Flow",479831.468723,96866.907568,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300000274","Nodes","274",21.000000,57.350396,"DDS demands","Known Flow",479851.325728,96875.232571,,0.000000,,,,,-10.430000,,,,,,,-9.326693,-10.430000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000276","Nodes","276",21.000000,55.562940,"DDS demands","Known Flow",479976.258762,96766.069541,,0.000000,,,,,-7.629999,,,,,,,-6.822882,-7.629999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000283","Nodes","283",21.000000,56.605146,"DDS demands","Known Flow",479920.605747,96704.570524,,0.000000,,,,,-1.450000,,,,,,,-1.296616,-1.450000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000280","Nodes","280",21.000000,56.703591,"DDS demands","Known Flow",479940.547752,96781.156545,,0.000000,,,,,-5.460000,,,,,,,-4.882429,-5.460000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000277","Nodes","277",21.000000,55.533129,"DDS demands","Known Flow",479982.234764,96761.511540,,0.000000,,,,,-5.389999,,,,,,,-4.819834,-5.389999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000335","Nodes","335",21.000000,56.223463,"DDS demands","Known Flow",478918.713474,97308.499689,,0.000000,,,,,-2.319999,,,,,,,-2.074585,-2.319999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000124","Nodes","124",21.000000,66.585628,"DDS demands","Known Flow",479344.184590,96981.524600,,0.000000,,,,,-4.829999,,,,,,,-4.319072,-4.829999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000127","Nodes","127",21.000000,66.565647,"DDS demands","Known Flow",479207.502763,97141.923159,,0.000000,,,,,-6.380000,,,,,,,-5.705110,-6.380000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000136","Nodes","136",21.000000,66.138113,"DDS demands","Known Flow",479372.289598,97320.806692,,0.000000,,,,,-6.309999,,,,,,,-5.642515,-6.309999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000141","Nodes","141",21.000000,65.859943,"DDS demands","Known Flow",479423.312611,97325.603693,,0.000000,,,,,-2.119999,,,,,,,-1.895741,-2.119999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000142","Nodes","142",21.000000,64.809637,"DDS demands","Known Flow",479412.479609,97401.563714,,0.000000,,,,,-12.459999,,,,,,,-11.141954,-12.459999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000160","Nodes","160",21.000000,65.289383,"Default Known Flow Node","Known Flow",479462.027622,97276.990680,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300000157","Nodes","157",21.000000,65.817166,"DDS demands","Known Flow",479432.111614,97303.238687,,0.000000,,,,,-0.600000,,,,,,,-0.536530,-0.600000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000165","Nodes","165",21.000000,63.863123,"DDS demands","Known Flow",479473.363625,97174.377652,,0.000000,,,,,-17.860000,,,,,,,-15.970732,-17.860000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000167","Nodes","167",21.000000,63.036281,"DDS demands","Known Flow",479461.213622,97040.307616,,0.000000,,,,-15.240000,-7.479999,,,,,,,-20.316631,-22.720000,,"",,,,"C4 PROFILE","D1 PROFILE",,,,,,
"82060300000162","Nodes","162",21.000000,64.359209,"DDS demands","Known Flow",479491.736630,97229.829667,,0.000000,,-6.000000,,,,,,,,,,-5.365307,-6.000000,,"",,"C2 PROFILE",,,,,,,,,
"82060300000163","Nodes","163",21.000000,64.220913,"Default Known Flow Node","Known Flow",479485.682400,97215.646624,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300000126","Nodes","126",21.000000,66.236382,"DDS demands","Known Flow",479325.663585,97062.934622,,0.000000,,,,,-5.599999,,,,,,,-5.007620,-5.599999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000133","Nodes","133",21.000000,63.613301,"DDS demands","Known Flow",479278.312117,97231.408543,,0.000000,,,,,-9.960000,,,,,,,-8.906410,-9.960000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000134","Nodes","134",21.000000,60.757321,"DDS demands","Known Flow",479251.125565,97305.526688,,0.000000,,,,,-13.420000,,,,,,,-12.000404,-13.420000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000135","Nodes","135",21.000000,63.970454,"DDS demands","Known Flow",479325.484585,97207.161661,,0.000000,,,,,-7.840000,,,,,,,-7.010668,-7.840000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000158","Nodes","158",21.000000,63.963459,"DDS demands","Known Flow",479402.531606,97175.111652,,0.000000,,,,,-19.290000,,,,,,,-17.249463,-19.290000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000140","Nodes","140",21.000000,65.869929,"Default Known Flow Node","Known Flow",479416.564610,97315.243690,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300000159","Nodes","159",21.000000,63.963459,"Default Known Flow Node","Known Flow",479420.236045,97166.648225,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300043413","Nodes","43413",21.000000,64.191920,"Default Known Flow Node","Known Flow",479471.332625,97382.562709,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300000143","Nodes","143",21.000000,64.809637,"Default Known Flow Node","Known Flow",479422.247611,97446.936726,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300000168","Nodes","168",21.000000,62.856618,"DDS demands","Known Flow",479402.094606,97047.601618,,0.000000,,,,,-7.369999,,,,,,,-6.590385,-7.369999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000144","Nodes","144",21.000000,63.837282,"DDS demands","Known Flow",479487.532629,97414.138717,,0.000000,,,,,-23.820000,,,,,,,-21.300271,-23.820000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000166","Nodes","166",21.000000,63.845292,"DDS demands","Known Flow",479450.973619,97202.767660,,0.000000,,,,,-2.430000,,,,,,,-2.172949,-2.430000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000164","Nodes","164",21.000000,64.183425,"DDS demands","Known Flow",479470.520624,97223.246665,,0.000000,,,,-6.139999,,,,,,,,-5.490497,-6.139999,,"",,,,"C4 PROFILE",,,,,,,
"82060300000179","Nodes","179",21.000000,56.313911,"DDS demands","Known Flow",479632.613668,97007.139607,,0.000000,,,,,-7.739999,,,,,,,-6.921246,-7.739999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000273","Nodes","273",21.000000,58.356976,"DDS demands","Known Flow",479873.530734,96975.205598,,0.000000,,,,,-10.339999,,,,,,,-9.246212,-10.339999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000272","Nodes","272",21.000000,59.468498,"DDS demands","Known Flow",479932.503750,97058.019620,,0.000000,,,,,-10.770000,,,,,,,-9.630727,-10.770000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000145","Nodes","145",21.000000,63.837282,"Default Known Flow Node","Known Flow",479603.641661,97369.558705,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300000188","Nodes","188",21.000000,66.016531,"Default Known Flow Node","Known Flow",479683.728682,97230.412667,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300000146","Nodes","146",21.000000,63.357355,"Default Known Flow Node","Known Flow",479509.107635,97480.660735,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300043467","Nodes","43467",21.000000,63.334313,"Default Known Flow Node","Known Flow",479512.320636,97479.645735,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300000173","Nodes","173",21.000000,55.694160,"DDS demands","Known Flow",479540.150643,97053.259619,,0.000000,,,,,-10.889999,,,,,,,-9.738032,-10.889999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000197","Nodes","197",21.000000,62.142041,"DDS demands","Known Flow",479549.628646,97090.756629,,0.000000,,,,,-3.469999,,,,,,,-3.102936,-3.469999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000196","Nodes","196",21.000000,62.254891,"DDS demands","Known Flow",479619.197665,97108.195634,,0.000000,-2.819999,,,-2.829999,-21.129999,,,,,,,-23.947155,-26.780000,,"","C1 PROFILE",,,"C4 PROFILE","D1 PROFILE",,,,,,
"82060300000148","Nodes","148",21.000000,62.949092,"DDS demands","Known Flow",479567.167879,97456.491228,,0.000000,,,,,-6.730000,,,,,,,-6.018086,-6.730000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000152","Nodes","152",21.000000,62.696097,"DDS demands","Known Flow",479669.776679,97416.232718,,0.000000,,,,,-7.420000,,,,,,,-6.635097,-7.420000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000153","Nodes","153",21.000000,62.663902,"DDS demands","Known Flow",479645.268672,97370.680706,,0.000000,,,,,-2.460000,,,,,,,-2.199776,-2.460000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000154","Nodes","154",21.000000,62.702306,"DDS demands","Known Flow",479680.552681,97485.576737,,0.000000,,,,,-2.069999,,,,,,,-1.851031,-2.069999,,"",,,,,"D1 PROFILE",,,,,,
"82060300000186","Nodes","186",21.000000,66.722498,"DDS demands","Known Flow",479740.371698,97304.027687,,0.000000,,,,,-5.249999,,,,,,,-4.694643,-5.249999,,"",,,,,"D1 PROFILE",,,,,,
"82060300043480","Nodes","43480",21.000000,64.379071,"Default Known Flow Node","Known Flow",479664.657677,97163.526649,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"82060300000185","Nodes","185",21.000000,65.825357,"DDS demands","Known Flow",479723.998693,97419.094719,,0.000000,,,,,-12.470000,,,,,,,-11.150897,-12.470000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000187","Nodes","187",21.000000,66.672147,"DDS demands","Known Flow",479726.051694,97367.355705,,0.000000,,,,,-3.020000,,,,,,,-2.700538,-3.020000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000268","Nodes","268",21.000000,52.582020,"DDS demands","Known Flow",479990.457766,97221.010665,,0.000000,,,,,-10.880000,,,,,,,-9.729090,-10.880000,,"",,,,,"D1 PROFILE",,,,,,
"82060300000267","Nodes","267",21.000000,52.718036,"DDS demands","Known Flow",479981.903763,97199.560659,,0.000000,,,,,-10.350000,,,,,,,-9.255155,-10.350000,,"",,,,,"D1 PROFILE",,,,,,
